Inicio: 22/11/2023 16:55:05,55 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: unloadAsync.txt
22/11/2023 18:33:35,20 116300
22/11/2023 18:33:46,20 116459
22/11/2023 18:33:57,13 117599
22/11/2023 18:34:07,20 115090
22/11/2023 18:34:18,18 116070
22/11/2023 18:34:29,16 117296
22/11/2023 18:34:40,21 117288
22/11/2023 18:34:51,14 117046
22/11/2023 18:35:02,20 116769
22/11/2023 18:35:13,17 117709
22/11/2023 18:35:24,12 115492
22/11/2023 18:35:35,18 79704
22/11/2023 18:35:46,17 77638
22/11/2023 18:35:57,17 117021
22/11/2023 18:36:08,15 118019
22/11/2023 18:36:19,21 116711
22/11/2023 18:36:30,15 115166
22/11/2023 18:36:41,18 115680
22/11/2023 18:36:52,17 117042
22/11/2023 18:37:03,20 116998
22/11/2023 18:37:14,18 117035
22/11/2023 18:37:25,16 117893
22/11/2023 18:37:36,21 116767
22/11/2023 18:37:47,20 115202
22/11/2023 18:37:58,15 81404
22/11/2023 18:38:09,16 77524
22/11/2023 18:38:20,20 77508
22/11/2023 18:38:31,19 116285
22/11/2023 18:38:42,15 116316
22/11/2023 18:38:53,20 117494
22/11/2023 18:39:04,19 115086
22/11/2023 18:39:15,15 79756
22/11/2023 18:39:25,20 77400
22/11/2023 18:39:36,16 77388
22/11/2023 18:39:47,14 116550
22/11/2023 18:39:58,18 116959
22/11/2023 18:40:09,15 118324
22/11/2023 18:40:20,13 115717
22/11/2023 18:40:31,14 116421
22/11/2023 18:40:42,22 117553
22/11/2023 18:40:53,17 116515
22/11/2023 18:41:04,17 117702
22/11/2023 18:41:15,20 116559
22/11/2023 18:41:26,16 114693
22/11/2023 18:41:37,14 115275
22/11/2023 18:41:48,13 116797
22/11/2023 18:41:59,20 116792
22/11/2023 18:42:10,18 116445
22/11/2023 18:42:21,22 117235
22/11/2023 18:42:32,19 116199
22/11/2023 18:42:43,18 112550
22/11/2023 18:42:54,15 113950
22/11/2023 18:43:05,12 115149
22/11/2023 18:43:16,21 115155
22/11/2023 18:43:27,15 115073
22/11/2023 18:43:38,21 114541
22/11/2023 18:43:49,16 115799
22/11/2023 18:44:00,21 113327
22/11/2023 18:44:11,16 114104
22/11/2023 18:44:22,21 115296
22/11/2023 18:44:33,12 115263
22/11/2023 18:44:44,17 115527
22/11/2023 18:44:55,21 115443
22/11/2023 18:45:06,14 116393
22/11/2023 18:45:17,18 113980
22/11/2023 18:45:28,14 114564
22/11/2023 18:45:39,14 115724
22/11/2023 18:45:50,21 115332
22/11/2023 18:46:01,16 116376
22/11/2023 18:46:12,16 115273
22/11/2023 18:46:23,14 113807
22/11/2023 18:46:34,15 115199
22/11/2023 18:46:45,21 116565
22/11/2023 18:46:56,16 116557
22/11/2023 18:47:07,22 116513
22/11/2023 18:47:18,17 117257
22/11/2023 18:47:29,12 116048
22/11/2023 18:47:40,16 114446
22/11/2023 18:47:51,20 115324
22/11/2023 18:48:02,21 116480
22/11/2023 18:48:13,19 116464
22/11/2023 18:48:24,14 116808
22/11/2023 18:48:35,18 116293
22/11/2023 18:48:46,22 117433
22/11/2023 18:48:57,19 115046
22/11/2023 18:49:08,12 115920
22/11/2023 18:49:18,19 116854
22/11/2023 18:49:29,16 116946
22/11/2023 18:49:40,19 116987
22/11/2023 18:49:51,16 116769
22/11/2023 18:50:02,20 117733
22/11/2023 18:50:13,13 115556
22/11/2023 18:50:24,20 116198
22/11/2023 18:50:35,15 117334
22/11/2023 18:50:46,12 116883
22/11/2023 18:50:56,18 117959
22/11/2023 18:51:07,20 117066
22/11/2023 18:51:18,19 115460
22/11/2023 18:51:29,22 116379
22/11/2023 18:51:40,20 117917
22/11/2023 18:51:51,13 117913
22/11/2023 18:52:02,20 117561
22/11/2023 18:52:13,16 117203
22/11/2023 18:52:24,22 116326
22/11/2023 18:52:35,20 114889
22/11/2023 18:52:46,14 81039
22/11/2023 18:52:56,18 76968
22/11/2023 18:53:07,20 76988
22/11/2023 18:53:18,11 116882
22/11/2023 18:53:29,14 117218
22/11/2023 18:53:40,13 115832
22/11/2023 18:53:51,19 114789
22/11/2023 18:54:02,12 79712
22/11/2023 18:54:12,16 77088
22/11/2023 18:54:23,20 77080
22/11/2023 18:54:34,21 115786
22/11/2023 18:54:45,13 115844
22/11/2023 18:54:56,22 117086
22/11/2023 18:55:07,13 114667
22/11/2023 18:55:18,20 115509
22/11/2023 18:55:29,19 116667
22/11/2023 18:55:40,12 116631
22/11/2023 18:55:51,19 116877
22/11/2023 18:56:02,12 116607
22/11/2023 18:56:12,18 117499
22/11/2023 18:56:23,18 115226
22/11/2023 18:56:34,12 80658
22/11/2023 18:56:45,19 77494
22/11/2023 18:56:56,12 116720
22/11/2023 18:57:07,13 117712
22/11/2023 18:57:18,19 117534
22/11/2023 18:57:29,16 115992
22/11/2023 18:57:40,21 116682
22/11/2023 18:57:51,14 118160
22/11/2023 18:58:02,15 118035
22/11/2023 18:58:13,19 117887
22/11/2023 18:58:24,15 118769
22/11/2023 18:58:35,13 117664
22/11/2023 18:58:46,18 116166
22/11/2023 18:58:57,15 116767
22/11/2023 18:59:08,22 117959
22/11/2023 18:59:19,20 117935
22/11/2023 18:59:30,12 117833
22/11/2023 18:59:40,17 116765
22/11/2023 18:59:51,20 117931
22/11/2023 19:00:02,14 115767
22/11/2023 19:00:13,18 82370
22/11/2023 19:00:24,17 78726
22/11/2023 19:00:35,20 78682
22/11/2023 19:00:46,15 117647
22/11/2023 19:00:56,18 117659
22/11/2023 19:01:07,19 118815
22/11/2023 19:01:18,16 116443
22/11/2023 19:01:29,22 82054
22/11/2023 19:01:40,12 78659
22/11/2023 19:01:50,12 78663
22/11/2023 19:02:01,21 118029
22/11/2023 19:02:12,12 117965
22/11/2023 19:02:23,18 118983
22/11/2023 19:02:34,19 116729
22/11/2023 19:02:45,19 80897
22/11/2023 19:02:56,11 78889
22/11/2023 19:03:07,19 118183
22/11/2023 19:03:18,15 119079
22/11/2023 19:03:29,21 118095
22/11/2023 19:03:40,17 116562
22/11/2023 19:03:51,14 117365
22/11/2023 19:04:02,16 118731
22/11/2023 19:04:13,19 118743
22/11/2023 19:04:24,15 118652
22/11/2023 19:04:35,16 116928
22/11/2023 19:04:46,13 114955
22/11/2023 19:04:57,11 112788
22/11/2023 19:05:08,16 79208
22/11/2023 19:05:19,18 75324
22/11/2023 19:05:30,15 75324
22/11/2023 19:05:40,16 114475
22/11/2023 19:05:51,22 112980
22/11/2023 19:06:02,21 114422
22/11/2023 19:06:13,20 112008
22/11/2023 19:06:24,14 112812
22/11/2023 19:06:35,20 113994
22/11/2023 19:06:46,15 113962
22/11/2023 19:06:57,12 114264
22/11/2023 19:07:08,21 113534
22/11/2023 19:07:19,16 114445
22/11/2023 19:07:30,19 112375
22/11/2023 19:07:41,15 113902
22/11/2023 19:07:52,17 114443
22/11/2023 19:08:03,19 79426
22/11/2023 19:08:14,19 75238
22/11/2023 19:08:25,13 115274
22/11/2023 19:08:36,21 112795
22/11/2023 19:08:47,20 113677
22/11/2023 19:08:58,16 115071
22/11/2023 19:09:09,20 115006
22/11/2023 19:09:20,15 114905
22/11/2023 19:09:31,21 115731
22/11/2023 19:09:42,19 114736
22/11/2023 19:09:53,16 113115
22/11/2023 19:10:04,20 114454
22/11/2023 19:10:15,15 115650
22/11/2023 19:10:26,15 115658
22/11/2023 19:10:37,15 115526
22/11/2023 19:10:48,18 114919
22/11/2023 19:10:59,21 116141
22/11/2023 19:11:10,17 113742
22/11/2023 19:11:21,19 78264
22/11/2023 19:11:32,13 75832
22/11/2023 19:11:42,17 75804
22/11/2023 19:11:53,20 114830
22/11/2023 19:12:04,18 115013
22/11/2023 19:12:15,19 116017
22/11/2023 19:12:26,20 113653
22/11/2023 19:12:37,16 117362
22/11/2023 19:12:48,15 118566
22/11/2023 19:12:59,12 115045
