Inicio: 25/11/2023  2:16:57,29 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: key-prop-no-anonymous-func.txt
25/11/2023 03:24:40,12 104963
25/11/2023 03:24:46,16 102257
25/11/2023 03:24:52,22 96807
25/11/2023 03:24:58,18 95107
25/11/2023 03:25:04,21 95083
25/11/2023 03:25:10,13 95083
25/11/2023 03:25:16,13 95079
25/11/2023 03:25:22,18 121150
25/11/2023 03:25:28,18 121426
25/11/2023 03:25:34,17 101302
25/11/2023 03:25:40,17 101504
25/11/2023 03:25:46,15 100120
25/11/2023 03:25:52,13 94663
25/11/2023 03:25:58,14 94965
25/11/2023 03:26:04,15 93993
25/11/2023 03:26:10,17 95125
25/11/2023 03:26:16,22 100669
25/11/2023 03:26:22,14 100845
25/11/2023 03:26:28,13 100837
25/11/2023 03:26:34,12 100686
25/11/2023 03:26:40,20 97734
25/11/2023 03:26:46,19 111889
25/11/2023 03:26:52,12 109271
25/11/2023 03:26:58,21 105554
25/11/2023 03:27:04,17 103882
25/11/2023 03:27:10,20 103786
25/11/2023 03:27:16,21 103790
25/11/2023 03:27:22,17 103826
25/11/2023 03:27:28,21 116090
25/11/2023 03:27:34,15 116458
25/11/2023 03:27:40,14 100872
25/11/2023 03:27:46,14 101067
25/11/2023 03:27:52,20 101412
25/11/2023 03:27:58,13 95876
25/11/2023 03:28:04,22 102819
25/11/2023 03:28:10,14 101821
25/11/2023 03:28:16,12 97244
25/11/2023 03:28:22,15 105737
25/11/2023 03:28:28,12 105972
25/11/2023 03:28:34,18 106004
25/11/2023 03:28:40,11 105908
25/11/2023 03:28:46,12 102912
25/11/2023 03:28:52,21 101540
25/11/2023 03:28:58,12 98826
25/11/2023 03:29:04,11 101219
25/11/2023 03:29:10,12 99542
25/11/2023 03:29:16,14 99498
25/11/2023 03:29:22,19 99470
25/11/2023 03:29:28,12 99527
25/11/2023 03:29:34,21 114631
25/11/2023 03:29:40,22 115051
25/11/2023 03:29:46,18 113627
25/11/2023 03:29:52,18 113949
25/11/2023 03:29:58,11 115237
25/11/2023 03:30:04,11 109805
25/11/2023 03:30:10,12 100848
25/11/2023 03:30:16,15 99872
25/11/2023 03:30:22,16 98063
25/11/2023 03:30:28,21 96613
25/11/2023 03:30:34,21 94764
25/11/2023 03:30:40,17 94709
25/11/2023 03:30:46,21 100984
25/11/2023 03:30:52,15 100916
25/11/2023 03:30:58,16 102321
25/11/2023 03:31:04,18 99650
25/11/2023 03:31:10,21 120396
