Inicio: 25/11/2023 11:58:48,83 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: unload-async-await.txt
25/11/2023 12:52:18,17 112537
25/11/2023 12:52:24,15 111427
25/11/2023 12:52:30,20 114853
25/11/2023 12:52:36,18 114341
25/11/2023 12:52:42,15 117260
25/11/2023 12:52:48,18 114226
25/11/2023 12:52:54,19 114084
25/11/2023 12:53:00,20 115806
25/11/2023 12:53:06,16 115275
25/11/2023 12:53:12,18 113489
25/11/2023 12:53:18,14 113578
25/11/2023 12:53:23,19 113443
25/11/2023 12:53:29,12 113587
25/11/2023 12:53:34,14 113413
25/11/2023 12:53:39,12 124130
25/11/2023 12:53:44,18 124042
25/11/2023 12:53:50,14 98201
25/11/2023 12:53:56,21 98417
25/11/2023 12:54:02,16 116690
25/11/2023 12:54:08,15 111533
25/11/2023 12:54:14,20 111760
25/11/2023 12:54:20,19 110839
25/11/2023 12:54:26,22 111853
25/11/2023 12:54:32,21 114202
25/11/2023 12:54:38,16 114282
25/11/2023 12:54:44,20 114261
25/11/2023 12:54:50,16 117119
25/11/2023 12:54:55,13 113910
25/11/2023 12:55:00,22 113888
25/11/2023 12:55:06,16 115703
25/11/2023 12:55:12,19 115184
25/11/2023 12:55:18,15 113444
25/11/2023 12:55:24,22 113462
25/11/2023 12:55:30,17 113446
25/11/2023 12:55:36,14 113436
25/11/2023 12:55:42,21 123819
25/11/2023 12:55:48,21 124431
25/11/2023 12:55:54,11 98076
25/11/2023 12:55:59,18 98466
25/11/2023 12:56:05,18 98646
25/11/2023 12:56:11,15 116770
25/11/2023 12:56:17,16 111847
25/11/2023 12:56:23,18 111391
25/11/2023 12:56:29,21 111630
25/11/2023 12:56:35,15 111104
25/11/2023 12:56:41,13 114994
25/11/2023 12:56:47,15 114674
25/11/2023 12:56:52,21 117946
25/11/2023 12:56:58,19 114602
25/11/2023 12:57:04,18 114545
25/11/2023 12:57:10,14 116184
25/11/2023 12:57:16,15 113426
25/11/2023 12:57:22,16 115777
25/11/2023 12:57:28,20 114019
25/11/2023 12:57:34,20 113979
25/11/2023 12:57:40,14 113971
25/11/2023 12:57:46,21 114001
25/11/2023 12:57:52,19 125058
25/11/2023 12:57:58,12 98261
25/11/2023 12:58:03,18 99009
25/11/2023 12:58:09,12 99225
25/11/2023 12:58:14,19 117262
25/11/2023 12:58:20,15 112270
25/11/2023 12:58:25,13 112252
25/11/2023 12:58:30,16 111684
25/11/2023 12:58:36,12 112708
25/11/2023 12:58:42,19 111873
25/11/2023 12:58:48,11 115835
25/11/2023 12:58:53,12 115257
25/11/2023 12:58:58,18 118034
25/11/2023 12:59:04,22 115250
25/11/2023 12:59:10,21 115253
25/11/2023 12:59:16,15 117195
25/11/2023 12:59:22,14 114395
25/11/2023 12:59:27,13 116633
25/11/2023 12:59:32,21 114875
25/11/2023 12:59:38,14 114981
25/11/2023 12:59:44,12 114997
25/11/2023 12:59:49,14 114845
25/11/2023 12:59:55,11 125410
25/11/2023 13:00:01,17 125982
25/11/2023 13:00:07,18 99856
25/11/2023 13:00:13,20 100176
25/11/2023 13:00:19,12 118326
25/11/2023 13:00:24,19 113051
25/11/2023 13:00:30,12 113351
25/11/2023 13:00:35,15 112859
25/11/2023 13:00:40,16 112964
25/11/2023 13:00:46,15 112752
25/11/2023 13:00:51,13 115765
25/11/2023 13:00:56,13 115573
25/11/2023 13:01:01,13 115586
25/11/2023 13:01:06,14 118651
25/11/2023 13:01:12,16 115717
25/11/2023 13:01:18,15 115693
25/11/2023 13:01:24,13 117424
25/11/2023 13:01:29,14 78998
25/11/2023 13:01:35,13 115555
25/11/2023 13:01:40,14 115225
25/11/2023 13:01:45,12 115245
25/11/2023 13:01:51,17 115357
25/11/2023 13:01:57,21 115397
25/11/2023 13:02:03,12 126327
25/11/2023 13:02:08,20 126421
25/11/2023 13:02:14,14 100696
25/11/2023 13:02:19,21 100756
25/11/2023 13:02:25,20 119019
25/11/2023 13:02:31,13 113863
25/11/2023 13:02:37,18 114169
25/11/2023 13:02:43,15 113463
25/11/2023 13:02:48,15 114096
25/11/2023 13:02:53,12 113371
25/11/2023 13:02:58,14 117034
25/11/2023 13:03:03,13 116764
25/11/2023 13:03:09,12 116864
25/11/2023 13:03:14,18 119655
25/11/2023 13:03:20,18 116723
25/11/2023 13:03:26,17 118065
25/11/2023 13:03:32,12 115281
25/11/2023 13:03:38,19 117782
25/11/2023 13:03:44,11 116012
25/11/2023 13:03:49,13 115846
25/11/2023 13:03:54,13 115854
25/11/2023 13:03:59,20 115850
25/11/2023 13:04:05,12 116000
25/11/2023 13:04:10,19 126917
25/11/2023 13:04:16,16 99953
25/11/2023 13:04:22,17 100817
25/11/2023 13:04:28,21 100893
25/11/2023 13:04:34,13 119065
25/11/2023 13:04:40,13 113598
25/11/2023 13:04:45,20 114141
25/11/2023 13:04:51,18 113658
25/11/2023 13:04:57,16 113734
25/11/2023 13:05:02,15 116246
25/11/2023 13:05:07,19 116258
25/11/2023 13:05:13,11 116418
25/11/2023 13:05:19,15 119305
25/11/2023 13:05:25,13 116281
25/11/2023 13:05:30,19 116225
25/11/2023 13:05:36,15 118026
25/11/2023 13:05:42,17 117579
25/11/2023 13:05:48,12 115745
25/11/2023 13:05:53,18 115575
25/11/2023 13:05:59,21 115749
25/11/2023 13:06:05,17 115733
25/11/2023 13:06:11,11 115725
25/11/2023 13:06:17,15 126832
25/11/2023 13:06:23,12 100057
25/11/2023 13:06:28,20 100737
25/11/2023 13:06:34,20 100934
25/11/2023 13:06:40,17 119294
25/11/2023 13:06:46,14 113946
25/11/2023 13:06:51,19 114449
25/11/2023 13:06:57,15 113901
25/11/2023 13:07:02,17 114003
25/11/2023 13:07:07,11 114724
25/11/2023 13:07:13,19 116858
25/11/2023 13:07:19,16 116808
25/11/2023 13:07:25,17 119759
25/11/2023 13:07:31,15 116730
25/11/2023 13:07:37,12 81245
25/11/2023 13:07:43,14 115537
25/11/2023 13:07:49,13 117780
25/11/2023 13:07:54,16 115874
25/11/2023 13:08:00,12 116034
25/11/2023 13:08:05,21 115908
25/11/2023 13:08:11,21 115940
25/11/2023 13:08:17,16 115898
25/11/2023 13:08:23,13 127077
25/11/2023 13:08:28,14 100239
25/11/2023 13:08:34,22 101088
25/11/2023 13:08:40,15 101178
25/11/2023 13:08:46,20 119221
25/11/2023 13:08:52,18 113885
25/11/2023 13:08:57,13 114343
25/11/2023 13:09:02,19 113293
25/11/2023 13:09:08,20 114449
25/11/2023 13:09:14,14 116473
25/11/2023 13:09:20,17 116633
25/11/2023 13:09:26,20 116609
25/11/2023 13:09:32,22 119563
25/11/2023 13:09:38,19 116517
25/11/2023 13:09:44,17 118057
25/11/2023 13:09:50,22 115319
25/11/2023 13:09:56,19 117632
25/11/2023 13:10:02,14 115868
25/11/2023 13:10:08,14 115807
25/11/2023 13:10:14,18 115810
25/11/2023 13:10:20,17 115743
25/11/2023 13:10:26,18 126439
25/11/2023 13:10:32,18 126819
25/11/2023 13:10:38,19 100797
25/11/2023 13:10:44,14 100967
25/11/2023 13:10:49,19 119006
25/11/2023 13:10:55,19 114028
25/11/2023 13:11:01,19 114116
25/11/2023 13:11:07,12 113472
