Inicio: 26/11/2023 16:15:09,49 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue-2.txt
26/11/2023 17:59:30,18 119015
26/11/2023 17:59:41,20 113425
26/11/2023 17:59:52,18 113409
26/11/2023 18:00:03,21 115337
26/11/2023 18:00:14,21 115363
26/11/2023 18:00:25,13 113769
26/11/2023 18:00:36,13 126751
26/11/2023 18:00:47,17 126979
26/11/2023 18:00:58,17 126890
26/11/2023 18:01:09,22 136828
26/11/2023 18:01:20,15 110867
26/11/2023 18:01:31,20 130295
26/11/2023 18:01:42,16 125065
26/11/2023 18:01:53,17 124585
26/11/2023 18:02:04,22 127289
26/11/2023 18:02:15,13 91889
26/11/2023 18:02:26,17 127645
26/11/2023 18:02:37,18 124972
26/11/2023 18:02:48,18 125696
26/11/2023 18:02:59,13 126844
26/11/2023 18:03:10,18 126848
26/11/2023 18:03:21,22 110239
26/11/2023 18:03:32,12 111851
26/11/2023 18:03:43,17 130163
26/11/2023 18:03:54,22 124458
26/11/2023 18:04:05,19 124409
26/11/2023 18:04:16,18 126512
26/11/2023 18:04:27,20 126414
26/11/2023 18:04:38,15 124748
26/11/2023 18:04:49,18 125437
26/11/2023 18:05:00,15 126725
26/11/2023 18:05:11,12 126749
26/11/2023 18:05:22,21 136980
26/11/2023 18:05:33,21 111008
26/11/2023 18:05:44,15 129914
26/11/2023 18:05:55,16 124788
26/11/2023 18:06:06,15 124428
26/11/2023 18:06:17,14 127190
26/11/2023 18:06:28,18 125982
26/11/2023 18:06:39,17 127164
26/11/2023 18:06:50,11 124876
26/11/2023 18:07:01,16 125475
26/11/2023 18:07:12,15 126559
26/11/2023 18:07:23,20 137318
26/11/2023 18:07:34,16 111165
26/11/2023 18:07:45,18 112697
26/11/2023 18:07:56,21 130690
26/11/2023 18:08:07,22 125316
26/11/2023 18:08:18,14 126923
26/11/2023 18:08:29,16 128328
26/11/2023 18:08:40,17 127197
26/11/2023 18:08:51,13 125636
26/11/2023 18:09:02,17 126405
26/11/2023 18:09:13,19 127601
26/11/2023 18:09:24,13 127565
26/11/2023 18:09:35,18 131640
26/11/2023 18:09:46,16 103340
26/11/2023 18:09:57,19 122034
26/11/2023 18:10:08,14 116848
26/11/2023 18:10:19,18 113480
26/11/2023 18:10:30,20 116601
26/11/2023 18:10:41,17 116585
26/11/2023 18:10:52,17 117599
26/11/2023 18:11:03,12 115394
26/11/2023 18:11:14,12 116001
26/11/2023 18:11:25,22 117287
26/11/2023 18:11:36,19 126871
26/11/2023 18:11:47,15 101039
26/11/2023 18:11:58,11 102302
26/11/2023 18:12:09,15 85989
26/11/2023 18:12:20,17 114979
26/11/2023 18:12:31,23 117812
26/11/2023 18:12:42,15 117814
26/11/2023 18:12:53,22 116771
26/11/2023 18:13:04,18 115350
26/11/2023 18:13:15,13 116112
26/11/2023 18:13:26,15 117260
26/11/2023 18:13:37,20 116542
26/11/2023 18:13:48,13 127192
26/11/2023 18:13:59,18 101358
26/11/2023 18:14:10,22 120000
26/11/2023 18:14:21,20 114566
26/11/2023 18:14:32,13 114193
26/11/2023 18:14:43,17 115961
26/11/2023 18:14:54,18 116179
26/11/2023 18:15:05,12 117035
26/11/2023 18:15:16,19 115095
26/11/2023 18:15:27,17 116493
26/11/2023 18:15:38,12 116451
26/11/2023 18:15:49,15 126663
26/11/2023 18:16:00,16 98371
26/11/2023 18:16:11,12 117522
26/11/2023 18:16:22,20 112229
26/11/2023 18:16:33,19 111829
26/11/2023 18:16:44,18 115558
26/11/2023 18:16:55,22 115697
26/11/2023 18:17:06,13 114621
26/11/2023 18:17:17,19 113020
26/11/2023 18:17:28,21 114491
26/11/2023 18:17:39,17 115603
26/11/2023 18:17:50,21 115640
26/11/2023 18:18:01,12 126576
26/11/2023 18:18:12,12 100308
26/11/2023 18:18:23,22 118814
26/11/2023 18:18:34,22 113224
26/11/2023 18:18:45,16 112955
26/11/2023 18:18:56,20 114834
26/11/2023 18:19:07,20 115445
26/11/2023 18:19:18,16 113847
26/11/2023 18:19:29,21 114482
26/11/2023 18:19:40,11 115892
26/11/2023 18:19:51,23 115908
26/11/2023 18:20:02,19 126204
26/11/2023 18:20:13,14 100331
26/11/2023 18:20:24,22 112525
26/11/2023 18:20:35,13 114202
26/11/2023 18:20:46,18 113774
26/11/2023 18:20:57,17 116543
26/11/2023 18:21:08,20 117593
26/11/2023 18:21:19,20 116554
26/11/2023 18:21:30,22 116209
26/11/2023 18:21:41,12 116905
26/11/2023 18:21:52,18 118119
26/11/2023 18:22:03,14 118011
26/11/2023 18:22:14,18 100326
26/11/2023 18:22:25,14 101883
26/11/2023 18:22:36,14 119881
26/11/2023 18:22:47,22 114621
26/11/2023 18:22:58,14 114577
26/11/2023 18:23:09,14 119754
26/11/2023 18:23:20,14 117385
26/11/2023 18:23:31,18 115353
26/11/2023 18:23:42,22 116018
26/11/2023 18:23:53,18 117147
26/11/2023 18:24:04,16 116146
26/11/2023 18:24:15,22 126701
26/11/2023 18:24:26,17 100638
26/11/2023 18:24:37,13 119395
26/11/2023 18:24:48,18 114401
26/11/2023 18:24:59,14 114018
26/11/2023 18:25:10,15 117013
26/11/2023 18:25:21,17 115685
26/11/2023 18:25:32,13 116774
26/11/2023 18:25:43,16 114269
26/11/2023 18:25:54,13 114957
26/11/2023 18:26:05,21 116124
26/11/2023 18:26:16,12 124943
26/11/2023 18:26:27,17 98753
26/11/2023 18:26:38,18 100329
26/11/2023 18:26:49,18 118374
26/11/2023 18:27:00,17 113068
26/11/2023 18:27:11,17 114605
26/11/2023 18:27:22,18 115899
26/11/2023 18:27:33,16 114967
26/11/2023 18:27:44,21 113377
26/11/2023 18:27:55,12 114131
26/11/2023 18:28:06,16 115359
26/11/2023 18:28:17,18 115327
26/11/2023 18:28:28,17 126351
26/11/2023 18:28:39,11 101149
26/11/2023 18:28:50,15 119952
26/11/2023 18:29:01,14 114585
26/11/2023 18:29:12,18 114123
26/11/2023 18:29:23,13 115895
26/11/2023 18:29:34,18 116076
26/11/2023 18:29:45,12 117136
26/11/2023 18:29:56,14 114891
26/11/2023 18:30:07,13 115500
26/11/2023 18:30:18,12 116791
26/11/2023 18:30:29,14 126553
26/11/2023 18:30:40,11 100633
26/11/2023 18:30:51,22 101917
26/11/2023 18:31:02,22 84225
26/11/2023 18:31:13,22 114780
26/11/2023 18:31:24,15 118031
26/11/2023 18:31:35,20 118143
26/11/2023 18:31:46,18 129767
26/11/2023 18:31:57,17 127453
26/11/2023 18:32:08,12 128199
26/11/2023 18:32:19,17 129315
