Inicio: 26/11/2023 13:00:20,53 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue.txt
26/11/2023 14:53:29,14 114544
26/11/2023 14:53:40,12 115535
26/11/2023 14:53:51,17 118722
26/11/2023 14:54:02,13 118138
26/11/2023 14:54:13,22 118121
26/11/2023 14:54:24,13 124684
26/11/2023 14:54:35,12 98448
26/11/2023 14:54:45,17 99338
26/11/2023 14:54:56,14 117291
26/11/2023 14:55:07,15 113133
26/11/2023 14:55:18,16 115642
26/11/2023 14:55:29,20 115622
26/11/2023 14:55:40,18 114551
26/11/2023 14:55:51,20 113117
26/11/2023 14:56:02,19 113838
26/11/2023 14:56:13,16 115072
26/11/2023 14:56:24,14 115056
26/11/2023 14:56:35,22 126053
26/11/2023 14:56:46,13 99120
26/11/2023 14:56:57,12 118137
26/11/2023 14:57:08,14 112745
26/11/2023 14:57:19,12 112354
26/11/2023 14:57:30,18 114000
26/11/2023 14:57:41,15 113493
26/11/2023 14:57:52,12 114369
26/11/2023 14:58:03,16 114975
26/11/2023 14:58:14,16 114420
26/11/2023 14:58:25,16 114432
26/11/2023 14:58:36,15 123893
26/11/2023 14:58:47,19 98494
26/11/2023 14:58:58,15 117046
26/11/2023 14:59:09,18 112397
26/11/2023 14:59:20,16 111883
26/11/2023 14:59:31,13 114944
26/11/2023 14:59:42,13 115106
26/11/2023 14:59:53,17 114031
26/11/2023 15:00:04,19 112568
26/11/2023 15:00:15,12 125697
26/11/2023 15:00:26,19 129637
26/11/2023 15:00:37,19 129729
26/11/2023 15:00:48,19 137429
26/11/2023 15:00:59,18 111362
26/11/2023 15:01:10,17 130152
26/11/2023 15:01:21,19 124770
26/11/2023 15:01:32,22 124215
26/11/2023 15:01:43,14 126159
26/11/2023 15:01:54,18 126280
26/11/2023 15:02:05,13 124649
26/11/2023 15:02:16,17 125164
26/11/2023 15:02:27,16 126591
26/11/2023 15:02:38,21 126603
