Inicio: 28/11/2023 14:13:49,28 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: teste-media-error.txt
28/11/2023 16:00:27,21 165360
28/11/2023 16:00:38,21 165314
28/11/2023 16:00:49,18 165238
28/11/2023 16:01:00,21 147276
28/11/2023 16:01:11,17 189905
28/11/2023 16:01:22,15 189465
28/11/2023 16:01:33,20 234915
28/11/2023 16:01:44,12 234527
28/11/2023 16:01:55,16 173681
28/11/2023 16:02:06,16 175771
28/11/2023 16:02:17,20 196612
28/11/2023 16:02:28,13 133583
28/11/2023 16:02:38,22 172840
28/11/2023 16:02:49,18 171962
28/11/2023 16:03:00,14 173868
28/11/2023 16:03:11,14 143866
28/11/2023 16:03:22,22 188537
28/11/2023 16:03:33,17 189995
28/11/2023 16:03:44,20 189837
28/11/2023 16:03:55,13 180752
28/11/2023 16:04:06,14 175420
28/11/2023 16:04:17,11 174948
28/11/2023 16:04:28,13 175034
28/11/2023 16:04:39,15 166789
28/11/2023 16:04:50,22 166808
28/11/2023 16:05:01,16 166739
28/11/2023 16:05:12,12 167941
28/11/2023 16:05:23,20 167732
28/11/2023 16:05:34,14 167562
28/11/2023 16:05:45,13 167562
28/11/2023 16:05:56,22 167517
28/11/2023 16:06:07,11 167425
28/11/2023 16:06:18,21 167473
28/11/2023 16:06:29,16 167394
28/11/2023 16:06:40,17 169126
28/11/2023 16:06:51,19 170850
28/11/2023 16:07:02,18 170860
28/11/2023 16:07:13,18 170974
28/11/2023 16:07:24,20 170608
28/11/2023 16:07:35,20 144672
28/11/2023 16:07:46,22 123729
28/11/2023 16:07:57,13 178892
28/11/2023 16:08:08,14 220541
28/11/2023 16:08:19,12 221293
28/11/2023 16:08:30,15 202907
28/11/2023 16:08:41,18 158358
28/11/2023 16:08:52,20 146580
28/11/2023 16:09:03,11 160340
28/11/2023 16:09:14,15 124887
28/11/2023 16:09:25,16 166724
28/11/2023 16:09:36,20 165773
28/11/2023 16:09:47,13 139262
28/11/2023 16:09:58,22 132749
28/11/2023 16:10:09,18 188885
28/11/2023 16:10:20,17 189095
28/11/2023 16:10:31,12 183483
28/11/2023 16:10:42,20 180401
28/11/2023 16:10:53,20 180474
28/11/2023 16:11:04,18 178808
28/11/2023 16:11:15,17 178838
28/11/2023 16:11:26,18 170599
28/11/2023 16:11:37,18 169725
28/11/2023 16:11:48,12 169410
28/11/2023 16:11:59,14 169234
28/11/2023 16:12:10,14 168858
28/11/2023 16:12:21,17 159614
28/11/2023 16:12:32,20 160407
28/11/2023 16:12:43,12 160566
28/11/2023 16:12:54,16 160402
28/11/2023 16:13:05,20 160647
28/11/2023 16:13:16,20 160494
28/11/2023 16:13:27,16 166067
28/11/2023 16:13:38,15 165742
28/11/2023 16:13:49,17 165809
28/11/2023 16:14:00,21 165494
28/11/2023 16:14:11,14 165708
28/11/2023 16:14:22,16 146648
28/11/2023 16:14:33,20 190646
28/11/2023 16:14:44,15 230158
28/11/2023 16:14:55,14 229462
28/11/2023 16:15:06,21 229070
28/11/2023 16:15:17,13 170891
28/11/2023 16:15:28,22 156622
28/11/2023 16:15:39,22 181547
28/11/2023 16:15:50,18 135743
28/11/2023 16:16:01,13 176595
28/11/2023 16:16:12,20 176366
28/11/2023 16:16:23,18 178250
28/11/2023 16:16:34,18 150020
28/11/2023 16:16:45,15 201174
28/11/2023 16:16:56,14 201295
28/11/2023 16:17:07,20 197218
28/11/2023 16:17:18,15 196265
28/11/2023 16:17:29,16 193358
28/11/2023 16:17:40,15 192081
28/11/2023 16:17:51,17 191958
28/11/2023 16:18:02,17 180648
28/11/2023 16:18:13,15 172079
28/11/2023 16:18:24,17 171871
28/11/2023 16:18:35,16 171866
28/11/2023 16:18:46,16 172134
28/11/2023 16:18:57,18 173555
28/11/2023 16:19:08,13 171342
28/11/2023 16:19:19,18 168319
28/11/2023 16:19:30,14 167914
28/11/2023 16:19:41,15 167699
28/11/2023 16:19:52,15 167632
28/11/2023 16:20:03,15 169404
28/11/2023 16:20:14,19 170803
28/11/2023 16:20:25,12 170877
